epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,26.4331,0.73393,1.32913,0.98466,0.81288,0.80959,0.92425,0.8311,0.51323,1.25947,0.85458,0.0005842,0.0005842,0.0005842
44,27.0461,0.68494,1.22846,0.97063,0.7371,0.95915,0.95315,0.85351,0.48265,1.07882,0.84179,0.0005743,0.0005743,0.0005743
45,27.6261,0.70883,1.21424,0.99878,0.7371,0.95915,0.95315,0.85351,0.48265,1.07882,0.84179,0.0005644,0.0005644,0.0005644
46,28.2021,0.63186,1.15878,0.93866,0.7371,0.95915,0.95315,0.85351,0.48265,1.07882,0.84179,0.0005545,0.0005545,0.0005545
47,28.8141,0.64481,1.19655,0.97605,0.86822,0.89128,0.9725,0.88253,0.48332,0.88643,0.85273,0.0005446,0.0005446,0.0005446
48,29.3901,0.63855,1.20322,0.93347,0.86822,0.89128,0.9725,0.88253,0.48332,0.88643,0.85273,0.0005347,0.0005347,0.0005347
49,29.9921,0.65966,1.16632,0.94087,0.87817,0.87454,0.95704,0.8651,0.5167,0.86292,0.87212,0.0005248,0.0005248,0.0005248
50,30.5661,0.60334,1.05745,0.94037,0.87817,0.87454,0.95704,0.8651,0.5167,0.86292,0.87212,0.0005149,0.0005149,0.0005149
51,31.1421,0.63477,1.06311,0.95011,0.87817,0.87454,0.95704,0.8651,0.5167,0.86292,0.87212,0.000505,0.000505,0.000505
52,31.7381,0.64023,1.09644,0.93522,0.84377,0.91706,0.9575,0.84949,0.55214,0.8258,0.88522,0.0004951,0.0004951,0.0004951
53,32.3231,0.63642,1.10314,0.96677,0.84377,0.91706,0.9575,0.84949,0.55214,0.8258,0.88522,0.0004852,0.0004852,0.0004852
54,32.8911,0.61728,1.06432,0.95345,0.84377,0.91706,0.9575,0.84949,0.55214,0.8258,0.88522,0.0004753,0.0004753,0.0004753
55,33.4891,0.58032,1.01961,0.93116,0.88383,0.95783,0.98944,0.8795,0.53886,0.77834,0.86356,0.0004654,0.0004654,0.0004654
