epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30847,1.16653,4.33637,1.28008,0.00012,0.00304,8e-05,2e-05,1.15553,4.19438,1.27448,8.181e-05,8.181e-05,8.181e-05
2,2.28893,0.97907,3.91264,1.07186,0.00452,0.07264,0.00855,0.00576,1.07545,3.89903,1.04754,0.000171,0.000171,0.000171
3,3.22433,0.9192,3.35062,0.99258,0.01658,0.24709,0.04735,0.0386,1.15587,3.74915,1.08099,0.000258391,0.000258391,0.000258391
4,4.33743,0.9514,2.91683,1.03886,0.04928,0.81488,0.1424,0.09891,1.12078,3.27964,1.08021,0.000343981,0.000343981,0.000343981
5,5.66955,1.01217,2.591,1.06795,0.16395,0.55587,0.17807,0.12046,1.12247,2.68886,1.07788,0.000427772,0.000427772,0.000427772
6,6.90209,0.97778,2.41404,1.05981,0.20369,0.31113,0.23823,0.16353,1.06512,2.4727,1.08794,0.000509763,0.000509763,0.000509763
7,7.97248,0.93802,2.27489,1.02442,0.20808,0.38959,0.28795,0.19606,1.02621,2.32959,1.09613,0.000589954,0.000589954,0.000589954
8,8.95833,0.94054,2.1148,1.05475,0.27665,0.46711,0.32853,0.22956,1.0677,2.11991,1.09953,0.000668345,0.000668345,0.000668345
9,9.90968,0.94522,1.98125,1.04735,0.31047,0.49301,0.35871,0.24291,1.13585,2.02502,1.13458,0.000744936,0.000744936,0.000744936
10,10.8864,0.94811,1.90798,1.03946,0.39371,0.62761,0.48711,0.31925,1.04216,1.74366,1.12943,0.000819728,0.000819728,0.000819728
11,11.8179,0.85458,1.75038,1.01787,0.40817,0.72768,0.53475,0.3664,0.97591,1.57016,1.10979,0.000819009,0.000819009,0.000819009
12,12.7599,0.90408,1.70939,1.02007,0.5251,0.68506,0.59574,0.41147,0.94472,1.39716,1.10847,0.00081001,0.00081001,0.00081001
13,13.7231,0.88802,1.64131,1.03163,0.50748,0.78722,0.62176,0.39938,1.00775,1.38267,1.1659,0.000801011,0.000801011,0.000801011
14,14.6814,0.81533,1.54109,0.99046,0.55596,0.75648,0.69432,0.48104,0.92117,1.30813,1.1061,0.000792012,0.000792012,0.000792012
15,15.645,0.81835,1.45842,0.99426,0.66061,0.66557,0.74429,0.52898,0.91186,1.21572,1.08492,0.000783013,0.000783013,0.000783013
16,16.655,0.82283,1.43046,0.9982,0.63264,0.76942,0.75821,0.54112,0.8862,1.19236,1.07583,0.000774013,0.000774013,0.000774013
17,17.6844,0.77964,1.36488,0.97039,0.65164,0.77887,0.7678,0.55542,0.84556,1.14255,1.05342,0.000765014,0.000765014,0.000765014
18,18.6719,0.74157,1.30752,0.978,0.67708,0.74218,0.78888,0.5644,0.89275,1.10442,1.06601,0.000756015,0.000756015,0.000756015
19,19.6231,0.79918,1.34052,0.99112,0.65753,0.79356,0.80509,0.55397,0.90321,1.10507,1.08563,0.000747016,0.000747016,0.000747016
20,20.5825,0.78708,1.329,0.98588,0.65054,0.81641,0.8196,0.5721,0.8852,1.10847,1.07253,0.000738017,0.000738017,0.000738017
21,21.5293,0.74543,1.25332,0.95399,0.8536,0.73059,0.82679,0.60389,0.83476,1.04735,1.03537,0.000729018,0.000729018,0.000729018
22,22.4903,0.78144,1.23019,1.0041,0.91118,0.75673,0.84219,0.60312,0.83816,0.94209,1.06271,0.000720019,0.000720019,0.000720019
23,23.4541,0.77273,1.19431,1.00855,0.89688,0.77204,0.84856,0.60515,0.85268,0.9322,1.06984,0.00071102,0.00071102,0.00071102
24,24.3905,0.7603,1.18072,0.97093,0.91154,0.77827,0.84651,0.62464,0.84151,0.91976,1.04949,0.000702021,0.000702021,0.000702021
25,25.355,0.76482,1.16897,0.94474,0.92169,0.75727,0.84729,0.61821,0.86223,0.93013,1.06153,0.000693022,0.000693022,0.000693022
26,26.3184,0.81689,1.18109,1.01299,0.89103,0.77506,0.85361,0.61864,0.90732,0.95998,1.0962,0.000684022,0.000684022,0.000684022
27,27.301,0.78802,1.09495,0.9824,0.89742,0.76739,0.86035,0.64609,0.8432,0.95866,1.04483,0.000675023,0.000675023,0.000675023
28,28.3105,0.76907,1.04647,1.00114,0.9298,0.79145,0.87375,0.66602,0.82287,0.89347,1.03312,0.000666024,0.000666024,0.000666024
29,29.2986,0.76079,1.09247,0.99048,0.80522,0.84846,0.88117,0.66893,0.81401,0.83419,1.04318,0.000657025,0.000657025,0.000657025
30,30.282,0.73291,1.05332,0.98052,0.83975,0.86585,0.89203,0.68596,0.78654,0.82377,1.02665,0.000648026,0.000648026,0.000648026
31,31.2252,0.70039,1.01334,0.94568,0.88729,0.85242,0.8999,0.68927,0.78929,0.80145,1.02139,0.000639027,0.000639027,0.000639027
32,32.143,0.69444,1.01103,0.9629,0.92529,0.85532,0.90265,0.69856,0.75597,0.78374,1.01525,0.000630028,0.000630028,0.000630028
33,33.054,0.70819,1.00186,0.94309,0.86392,0.86619,0.90555,0.70394,0.73255,0.76708,1.01268,0.000621029,0.000621029,0.000621029
34,33.9523,0.68767,1.0168,0.95248,0.87218,0.89369,0.91375,0.71301,0.73467,0.72915,1.00961,0.00061203,0.00061203,0.00061203
35,34.8496,0.70216,0.9864,0.96981,0.89478,0.88094,0.9113,0.71625,0.73036,0.72444,0.99526,0.000603031,0.000603031,0.000603031
36,35.7467,0.70631,0.96955,0.95421,0.8721,0.87072,0.91019,0.71529,0.7071,0.73595,0.983,0.000594031,0.000594031,0.000594031
37,36.6472,0.72294,1.0367,0.96816,0.92714,0.85592,0.91071,0.71594,0.68603,0.7706,0.97174,0.000585032,0.000585032,0.000585032
