epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.223,1.84105,4.05157,1.65593,0.00748,0.21944,0.02835,0.01621,1.39,3.61756,1.65747,2e-05,2e-05,2e-05
2,1.843,1.73505,4.12023,1.62641,0.01383,0.38889,0.09462,0.06799,1.37706,3.41357,1.6112,4.901e-05,4.901e-05,4.901e-05
3,2.513,1.45139,3.81622,1.40415,0.02353,0.65833,0.19006,0.14382,1.34612,3.10169,1.57992,7.6832e-05,7.6832e-05,7.6832e-05
4,3.153,1.3959,3.85565,1.34566,0.46903,0.40833,0.29832,0.2025,1.46051,2.73544,1.66638,0.000103466,0.000103466,0.000103466
5,3.776,1.17419,3.60075,1.18201,0.48427,0.25652,0.31932,0.20139,1.56772,2.57272,1.74707,0.000128912,0.000128912,0.000128912
6,4.413,1.2465,3.49243,1.2424,0.49581,0.40062,0.34326,0.20107,1.68347,2.39761,1.80033,0.00015317,0.00015317,0.00015317
7,5.037,1.18556,3.35388,1.20683,0.51664,0.40833,0.38323,0.22209,1.68039,2.35738,1.80367,0.00017624,0.00017624,0.00017624
8,5.74,0.95999,3.27989,1.06024,0.46665,0.45,0.39138,0.23653,1.66394,2.32036,1.76476,0.000198122,0.000198122,0.000198122
9,6.381,1.07774,3.26228,1.12309,0.46195,0.48333,0.38737,0.23752,1.58961,2.30485,1.68563,0.000218816,0.000218816,0.000218816
10,7.005,0.93864,3.13376,1.05306,0.49925,0.47099,0.39387,0.25509,1.45499,2.30225,1.52946,0.000238322,0.000238322,0.000238322
11,7.613,0.94611,3.06692,1.04258,0.48814,0.55,0.34674,0.25855,1.2968,2.31146,1.33615,0.00025664,0.00025664,0.00025664
12,8.219,0.91077,2.99959,1.01906,0.49854,0.50524,0.3545,0.26613,1.1935,2.30717,1.20292,0.00027377,0.00027377,0.00027377
13,8.846,0.94989,2.90502,1.04733,0.49604,0.43725,0.39559,0.3032,1.00838,2.32573,1.05028,0.000289712,0.000289712,0.000289712
14,9.477,0.93609,2.96982,1.03029,0.4815,0.37803,0.44235,0.35596,0.85137,2.29815,0.94997,0.000304466,0.000304466,0.000304466
15,10.086,0.96204,2.85626,1.07394,0.4815,0.37803,0.44235,0.35596,0.85137,2.29815,0.94997,0.000318032,0.000318032,0.000318032
16,10.706,0.86837,2.72111,1.02206,0.48905,0.39876,0.46689,0.3751,0.78491,2.23957,0.91471,0.00033041,0.00033041,0.00033041
17,11.311,0.87459,2.66983,1.00489,0.46641,0.58333,0.49146,0.39506,0.8232,2.11631,0.91875,0.0003416,0.0003416,0.0003416
18,11.903,0.81882,2.56689,0.98554,0.46641,0.58333,0.49146,0.39506,0.8232,2.11631,0.91875,0.000351602,0.000351602,0.000351602
19,12.522,0.8646,2.46531,1.0195,0.57645,0.55556,0.50845,0.40918,0.73901,1.9809,0.8842,0.000360416,0.000360416,0.000360416
