epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.184,1.84105,4.05157,1.65593,0.00748,0.21944,0.02835,0.01621,1.39,3.61756,1.65747,2e-05,2e-05,2e-05
2,1.802,1.7343,4.12044,1.62615,0.01385,0.38889,0.09532,0.06845,1.37845,3.40832,1.61197,4.9505e-05,4.9505e-05,4.9505e-05
3,2.446,1.44892,3.81366,1.40188,0.02358,0.65833,0.19532,0.14668,1.34512,3.09567,1.58071,7.8416e-05,7.8416e-05,7.8416e-05
4,3.087,1.38848,3.85109,1.34068,0.50314,0.36175,0.29904,0.20208,1.47013,2.72023,1.66912,0.000106733,0.000106733,0.000106733
5,3.698,1.16588,3.59081,1.17667,0.48937,0.26802,0.32652,0.20395,1.58701,2.55836,1.74607,0.000134456,0.000134456,0.000134456
6,4.336,1.24588,3.48421,1.23947,0.48984,0.39881,0.34528,0.20314,1.7013,2.38022,1.8055,0.000161585,0.000161585,0.000161585
7,4.929,1.18261,3.34464,1.20537,0.50482,0.45,0.38457,0.22293,1.68072,2.3441,1.7885,0.00018812,0.00018812,0.00018812
8,5.525,0.95238,3.26642,1.05485,0.45293,0.45,0.39052,0.23738,1.6413,2.30457,1.73335,0.000214061,0.000214061,0.000214061
9,6.136,1.07018,3.24207,1.11726,0.46679,0.50994,0.39189,0.2444,1.54594,2.27601,1.62046,0.000239408,0.000239408,0.000239408
10,6.734,0.93205,3.10813,1.04802,0.51601,0.49837,0.38357,0.25458,1.41843,2.28377,1.47699,0.000264161,0.000264161,0.000264161
11,7.351,0.94155,3.03311,1.03805,0.49783,0.58333,0.36664,0.27477,1.25146,2.2827,1.26977,0.00028832,0.00028832,0.00028832
12,7.951,0.9157,2.95298,1.01828,0.5009,0.52734,0.36425,0.2732,1.12943,2.27949,1.14374,0.000311885,0.000311885,0.000311885
13,8.538,0.94746,2.85213,1.04317,0.48741,0.44206,0.42738,0.33658,0.93745,2.2774,1.00141,0.000334856,0.000334856,0.000334856
14,9.145,0.93638,2.91617,1.02673,0.48396,0.4141,0.46557,0.37163,0.80316,2.22596,0.92653,0.000357233,0.000357233,0.000357233
15,9.734,0.94778,2.77132,1.06842,0.48396,0.4141,0.46557,0.37163,0.80316,2.22596,0.92653,0.000379016,0.000379016,0.000379016
16,10.352,0.85823,2.63453,1.01651,0.44732,0.58333,0.4918,0.39776,0.76721,2.11592,0.90373,0.000400205,0.000400205,0.000400205
17,10.96,0.8712,2.57276,0.99885,0.5645,0.55443,0.49162,0.38828,0.81952,1.95799,0.90699,0.0004208,0.0004208,0.0004208
18,11.541,0.83497,2.46785,0.98855,0.5645,0.55443,0.49162,0.38828,0.81952,1.95799,0.90699,0.000440801,0.000440801,0.000440801
19,12.128,0.88822,2.36351,1.02769,0.56554,0.58333,0.51371,0.41643,0.69525,1.84539,0.86725,0.000460208,0.000460208,0.000460208
20,12.734,0.87156,2.31367,1.01328,0.59209,0.51576,0.52193,0.45303,0.53549,1.82268,0.83507,0.000479021,0.000479021,0.000479021
21,13.313,0.8628,2.13819,1.00241,0.59209,0.51576,0.52193,0.45303,0.53549,1.82268,0.83507,0.00049724,0.00049724,0.00049724
22,13.913,0.8866,2.2267,1.00272,0.57408,0.53382,0.50761,0.43874,0.55473,1.93614,0.83718,0.000514865,0.000514865,0.000514865
