epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.1857,0.64741,1.28614,0.95765,0.79334,0.72926,0.82102,0.74544,0.50925,0.97035,0.86365,0.000540037,0.000540037,0.000540037
43,28.8413,0.69769,1.32948,0.96706,0.79334,0.72926,0.82102,0.74544,0.50925,0.97035,0.86365,0.000531038,0.000531038,0.000531038
44,29.4789,0.68018,1.20972,0.9814,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.000522039,0.000522039,0.000522039
45,30.1025,0.69873,1.19027,0.98387,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.00051304,0.00051304,0.00051304
46,30.7216,0.62616,1.13607,0.94675,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.00050404,0.00050404,0.00050404
47,31.3738,0.62797,1.15847,0.97918,0.89424,0.82721,0.91393,0.8334,0.5003,0.88695,0.85734,0.000495041,0.000495041,0.000495041
48,31.9928,0.60935,1.16222,0.9409,0.89424,0.82721,0.91393,0.8334,0.5003,0.88695,0.85734,0.000486042,0.000486042,0.000486042
49,32.6375,0.60787,1.17779,0.92605,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000477043,0.000477043,0.000477043
50,33.2633,0.56912,1.07343,0.92953,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000468044,0.000468044,0.000468044
51,33.8934,0.57763,1.09539,0.93836,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000459045,0.000459045,0.000459045
52,34.5342,0.59636,1.14834,0.91793,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000450046,0.000450046,0.000450046
53,35.1586,0.61695,1.1462,0.95885,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000441047,0.000441047,0.000441047
54,35.7766,0.55524,1.08209,0.9208,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000432048,0.000432048,0.000432048
55,36.4297,0.55022,1.04361,0.92613,0.94678,0.9168,0.95618,0.87572,0.46006,0.78355,0.84385,0.000423049,0.000423049,0.000423049
56,37.0635,0.58133,1.06677,0.92675,0.94678,0.9168,0.95618,0.87572,0.46006,0.78355,0.84385,0.000414049,0.000414049,0.000414049
57,37.718,0.60026,1.04045,0.93142,0.93345,0.9448,0.95796,0.88035,0.46532,0.78789,0.8462,0.00040505,0.00040505,0.00040505
