epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3334,1.17307,4.33935,1.27964,0.00012,0.00325,0.0001,1e-05,1.16909,4.17726,1.27229,8.181e-05,8.181e-05,8.181e-05
2,2.2836,0.99532,3.9157,1.07518,0.00388,0.06127,0.00411,0.00295,1.09173,3.91187,1.05953,0.000171,0.000171,0.000171
3,3.42764,0.93422,3.35381,0.99489,0.01415,0.21406,0.03498,0.02872,1.16853,3.77226,1.08191,0.000258391,0.000258391,0.000258391
4,4.91457,0.97392,2.92405,1.04146,0.04324,0.77268,0.12305,0.0856,1.14949,3.32012,1.09663,0.000343981,0.000343981,0.000343981
5,6.2733,1.02848,2.61564,1.06527,0.05177,0.95647,0.16324,0.11065,1.12517,2.73913,1.08681,0.000427772,0.000427772,0.000427772
6,7.45324,0.99024,2.43448,1.05955,0.15674,0.28772,0.20706,0.14052,1.0726,2.51399,1.08216,0.000509763,0.000509763,0.000509763
7,8.57938,0.94519,2.30823,1.0233,0.18858,0.31165,0.24975,0.16876,1.01073,2.36796,1.07436,0.000589954,0.000589954,0.000589954
8,9.67159,0.9475,2.13801,1.05166,0.27263,0.52795,0.30414,0.21226,1.02189,2.13047,1.07779,0.000668345,0.000668345,0.000668345
9,10.7659,0.94591,2.02394,1.04649,0.27577,0.53431,0.33333,0.23024,1.07819,2.05262,1.09371,0.000744936,0.000744936,0.000744936
10,11.8115,0.95254,1.93333,1.03001,0.3442,0.6534,0.44909,0.2916,1.00941,1.78183,1.11397,0.000819728,0.000819728,0.000819728
11,12.8369,0.86667,1.79685,1.01614,0.39591,0.66804,0.4978,0.34024,0.95943,1.64708,1.0888,0.000819009,0.000819009,0.000819009
12,13.8477,0.91601,1.76875,1.01889,0.46658,0.71006,0.56514,0.39949,0.92997,1.51259,1.08606,0.00081001,0.00081001,0.00081001
13,15.1481,0.90029,1.68608,1.03494,0.47,0.71198,0.58563,0.38533,0.99832,1.52669,1.15069,0.000801011,0.000801011,0.000801011
14,16.2815,0.81888,1.58039,0.99008,0.59399,0.67213,0.62379,0.43571,0.93376,1.45671,1.1093,0.000792012,0.000792012,0.000792012
15,17.5819,0.84054,1.49892,0.99313,0.5739,0.69446,0.66667,0.48241,0.9166,1.31962,1.08369,0.000783013,0.000783013,0.000783013
16,18.9093,0.83098,1.46759,0.99193,0.61172,0.68876,0.71038,0.51191,0.90211,1.21657,1.08388,0.000774013,0.000774013,0.000774013
17,20.1352,0.7965,1.41134,0.97262,0.66009,0.71187,0.74099,0.54031,0.85874,1.15206,1.05608,0.000765014,0.000765014,0.000765014
18,21.7731,0.7494,1.354,0.98187,0.62972,0.79686,0.79118,0.55982,0.90647,1.14724,1.07367,0.000756015,0.000756015,0.000756015
19,23.4575,0.82145,1.40111,0.99943,0.64598,0.77655,0.78398,0.5452,0.91869,1.19556,1.0847,0.000747016,0.000747016,0.000747016
20,25.0083,0.79997,1.38836,0.99158,0.66011,0.7936,0.78218,0.56054,0.8734,1.17933,1.05794,0.000738017,0.000738017,0.000738017
21,26.1973,0.75995,1.3192,0.95568,0.68713,0.81098,0.7948,0.59221,0.84399,1.08955,1.02896,0.000729018,0.000729018,0.000729018
22,27.2414,0.78206,1.29611,0.99799,0.75286,0.79775,0.80938,0.58345,0.84703,0.96238,1.0492,0.000720019,0.000720019,0.000720019
23,28.2298,0.78605,1.24148,0.99996,0.75768,0.81625,0.82103,0.58002,0.88531,0.94997,1.05917,0.00071102,0.00071102,0.00071102
24,29.1951,0.78944,1.23076,0.97439,0.74336,0.83258,0.83037,0.6066,0.85897,0.93161,1.03309,0.000702021,0.000702021,0.000702021
25,30.1212,0.78289,1.21827,0.94205,0.74438,0.83449,0.84026,0.61153,0.85948,0.92706,1.03532,0.000693022,0.000693022,0.000693022
26,31.0454,0.83162,1.24743,1.00963,0.83234,0.80645,0.85587,0.61072,0.92873,0.91708,1.07617,0.000684022,0.000684022,0.000684022
27,31.976,0.79918,1.15002,0.98022,0.83388,0.80435,0.86222,0.6423,0.83628,0.91877,1.01408,0.000675023,0.000675023,0.000675023
28,32.95,0.77665,1.10783,0.99521,0.82923,0.83619,0.85944,0.65396,0.81427,0.89124,1.00123,0.000666024,0.000666024,0.000666024
29,33.9151,0.77061,1.15394,0.98992,0.81534,0.85597,0.85507,0.64663,0.79504,0.86118,1.00646,0.000657025,0.000657025,0.000657025
30,34.8633,0.75191,1.12487,0.98101,0.83244,0.86123,0.86382,0.65254,0.79597,0.8469,1.01362,0.000648026,0.000648026,0.000648026
31,35.772,0.70304,1.07565,0.94473,0.84399,0.84873,0.87326,0.66293,0.78634,0.83686,1.00339,0.000639027,0.000639027,0.000639027
32,36.6776,0.71012,1.0851,0.96862,0.89793,0.8489,0.87442,0.66856,0.75418,0.8128,0.99663,0.000630028,0.000630028,0.000630028
33,37.6187,0.72262,1.04361,0.94588,0.9005,0.85692,0.88406,0.68647,0.73484,0.78712,0.9914,0.000621029,0.000621029,0.000621029
34,38.5334,0.69977,1.0632,0.95386,0.85003,0.88613,0.90113,0.69799,0.73191,0.7822,0.99036,0.00061203,0.00061203,0.00061203
35,39.4544,0.7281,1.05563,0.97372,0.83263,0.89018,0.90482,0.70571,0.72377,0.79114,0.98031,0.000603031,0.000603031,0.000603031
36,40.3704,0.73222,1.02023,0.95717,0.85797,0.89101,0.90938,0.7194,0.69835,0.79305,0.96903,0.000594031,0.000594031,0.000594031
